"host_since","host_response_time","host_is_superhost","host_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_group_cleansed","latitude","longitude","bathrooms_text","accommodates","price","minimum_nights","availability_365","review_scores_rating","instant_bookable","reviews_per_month","room_typeEntire home/apt","room_typeHotel room","room_typePrivate room","room_typeShared room","neighbourhood_group_cleansedBronx","neighbourhood_group_cleansedBrooklyn","neighbourhood_group_cleansedManhattan","neighbourhood_group_cleansedQueens","neighbourhood_group_cleansedStaten Island","price_log"
2840,3,1,1,1,1,"Brooklyn",40.68793,-73.99828,1,2,225,3,63,4.92,0,0.87,1,0,0,0,0,1,0,0,0,5.41610040220442
4260,0,0,1,1,0,"Manhattan",40.82667,-73.9398,1,2,225,3,0,5,0,0.1,1,0,0,0,0,0,1,0,0,5.41610040220442
2785,4,1,1,1,1,"Staten Island",40.54615,-74.14654,2,3,109,1,152,5,0,1.36,0,0,1,0,0,0,0,0,1,4.69134788222914
3135,0,0,2,1,1,"Brooklyn",40.6813,-73.92626,1,4,118,30,0,4.5,1,0.22,1,0,0,0,0,1,0,0,0,4.77068462446567
2784,3,0,1,1,1,"Brooklyn",40.70279,-73.94689,1,1,150,30,294,4.5,0,0.05,0,0,1,0,0,1,0,0,0,5.01063529409626
2784,0,0,1,1,0,"Manhattan",40.75823,-73.9627,1,2,170,30,0,5,0,0.01,1,0,0,0,0,0,1,0,0,5.13579843705026
4234,3,1,4,1,1,"Brooklyn",40.64977,-74.00385,0,2,53,30,307,4.58,1,0.16,0,0,1,0,0,1,0,0,0,3.97029191355212
2784,0,0,1,1,1,"Manhattan",40.75934,-73.99044,1,1,70,30,0,4.4,0,0.14,0,0,1,0,0,0,1,0,0,4.24849524204936
3259,0,0,1,1,1,"Manhattan",40.81372,-73.96103,1,4,186,30,0,0,0,0,1,0,0,0,0,0,1,0,0,5.2257466737132
3442,0,0,4,1,1,"Manhattan",40.71466,-73.98501,1,2,89,30,0,4.5,0,0.06,0,0,1,0,0,0,1,0,0,4.48863636973214
3077,0,0,1,1,1,"Manhattan",40.72655,-73.99108,1,1,120,30,0,4,0,0.05,0,0,1,0,0,0,1,0,0,4.78749174278205
2784,0,0,1,1,1,"Brooklyn",40.72703,-73.95353,1,2,100,30,0,4.72,0,0.32,1,0,0,0,0,1,0,0,0,4.60517018598809
