"host_since","host_response_time","host_is_superhost","host_listings_count","host_has_profile_pic","host_identity_verified","bathrooms_text","accommodates","minimum_nights","availability_365","review_scores_rating","instant_bookable","reviews_per_month","room_typeEntire home/apt","room_typeHotel room","room_typePrivate room","room_typeShared room","neighbourhood_group_cleansedBronx","neighbourhood_group_cleansedBrooklyn","neighbourhood_group_cleansedManhattan","neighbourhood_group_cleansedQueens","neighbourhood_group_cleansedStaten Island","price_log"
5339,1,0,6,1,1,1,1,30,308,4.7,0,0.31,1,0,0,0,0,0,1,0,0,5.41610040220442
5192,4,0,1,1,1,0,2,30,365,4.52,0,0.32,0,0,1,0,0,1,0,0,0,4.0943445622221
5192,4,0,1,1,1,1.5,4,21,250,5,0,0.02,1,0,0,0,0,1,0,0,0,5.61677109766657
5164,2,0,1,1,0,1,2,2,172,4.23,0,3.37,0,0,1,0,0,0,1,0,0,4.21950770517611
5190,0,0,1,1,1,1,1,2,0,4.91,0,0.76,0,0,1,0,0,0,1,0,0,4.31748811353631
5185,3,1,3,1,1,1,2,30,30,4.68,0,0.35,1,0,0,0,0,0,1,0,0,4.90527477843843
5157,3,0,3,1,1,1.5,2,4,312,4.7,0,1.32,0,0,1,0,0,1,0,0,0,4.77068462446567
5100,4,1,1,1,1,1,3,30,227,4.56,1,1.16,1,0,0,0,0,1,0,0,0,4.43081679884331
5099,3,0,0,1,1,1,1,30,334,0,0,0,0,0,1,0,0,0,1,0,0,4.17438726989564
5094,4,1,3,1,1,1,1,30,254,4.88,1,1.55,0,0,1,0,0,0,1,0,0,4.12713438504509
5091,2,0,2,1,1,1,2,7,5,4.86,0,0.06,0,0,1,0,0,1,0,0,0,4.49980967033027
5089,4,1,1,1,1,1,4,2,273,4.88,1,1.95,1,0,0,0,0,1,0,0,0,5.29330482472449
5063,2,1,4,1,0,1,4,30,348,4.86,0,0.06,1,0,0,0,0,1,0,0,0,5.97888576490112
5035,4,1,2,1,1,1,5,2,260,4.76,0,0.96,1,0,0,0,0,1,0,0,0,4.90527477843843
5008,0,0,1,1,1,1,2,30,0,4.52,0,0.38,1,0,0,0,0,0,1,0,0,5.16478597392351
4998,2,0,1,1,1,1,2,30,116,4.89,0,1.01,0,0,1,0,0,0,1,0,0,4.00733318523247
4980,3,0,5,1,1,1,3,30,263,4.68,0,0.54,0,0,1,0,0,1,0,0,0,4.40671924726425
5157,3,0,3,1,1,1,2,4,284,4.74,0,1.32,0,0,1,0,0,1,0,0,0,4.77912349311153
4941,0,0,1,1,0,1,1,30,0,0,0,0,0,0,1,0,0,1,0,0,0,5.01063529409626
4934,2,1,2,1,0,1,2,7,24,4.4,0,1.79,0,0,1,0,0,0,1,0,0,4.31748811353631
4922,4,1,1,1,0,1,4,3,124,4.91,0,2.23,0,0,1,0,0,0,0,1,0,4.9416424226093
4922,2,0,4,1,1,1,2,30,186,4.49,0,0.47,1,0,0,0,0,1,0,0,0,4.77912349311153
5018,3,0,4,1,1,1,3,2,363,4.14,0,0.49,0,0,1,0,0,0,0,1,0,4.31748811353631
4908,3,0,3,1,1,1,2,2,208,4.67,0,1.12,0,0,1,0,0,1,0,0,0,4.38202663467388
4902,4,0,3,1,1,1,2,1,104,4.76,0,0.92,1,0,0,0,0,1,0,0,0,5.51342874616498
